Sums: 484.65188728135234, 271.70111246987835 
CTCQS3CKSKHole pair | V_1 | V_2
CJDK | 3.464673508526411 | -1.6987735934627834 
CJHK | 3.4646735085264107 | -1.6987735934627837 
DKDA | 3.417057386579923 | -2.040057893126708 
DKHA | 3.4170573865799225 | -2.0400578931267077 
DKSA | 3.4170573865799225 | -2.0400578931267077 
DAHK | 3.417057386579922 | -2.040057893126708 
HKHA | 3.417057386579922 | -2.0400578931267077 
HKSA | 3.417057386579922 | -2.040057893126708 
DJHK | 3.3087743938178438 | -2.040057893126708 
HKSJ | 3.3087743938178438 | -2.040057893126708 
DJDK | 3.3087743938178433 | -2.040057893126708 
DKSJ | 3.3087743938178433 | -2.0400578931267077 
DKHJ | 3.308774393817843 | -2.0400578931267077 
HJHK | 3.308774393817843 | -2.040057893126708 
DKHK | 3.1061638919710424 | 5.288837184583687 
C9HK | 2.73728603042907 | -3.4307795310650784 
C9DK | 2.7372860304290696 | -3.4307795310650784 
C8DK | 2.6706796842093827 | -3.7318504144430196 
C8HK | 2.6706796842093827 | -3.731850414443019 
C2HK | 2.667427824865909 | -3.586305133167434 
C2DK | 2.6674278248659085 | -3.586305133167434 
C6DK | 2.6673337486149302 | -3.584770130685151 
C6HK | 2.6673337486149302 | -3.5847701306851505 
C4HK | 2.6673143261940737 | -3.584769091126729 
C4DK | 2.6673143261940733 | -3.5847690911267294 
C5DK | 2.6673129862710327 | -3.584769454571523 
C5HK | 2.6673129862710327 | -3.584769454571523 
C7HK | 2.666095995334319 | -3.5819873143889986 
C7DK | 2.6660959953343184 | -3.581987314388999 
DKH9 | 2.5599650653643256 | -3.8217327509240175 
D9DK | 2.559965065364325 | -3.821732750924018 
D9HK | 2.559965065364325 | -3.821732750924017 
DKS9 | 2.559965065364325 | -3.8217327509240175 
H9HK | 2.559965065364325 | -3.8217327509240175 
HKS9 | 2.559965065364325 | -3.8217327509240175 
DKS2 | 2.470469466897807 | -4.020413583627487 
D2HK | 2.4704694668978067 | -4.020413583627487 
H2HK | 2.4704694668978067 | -4.020413583627487 
HKS2 | 2.4704694668978067 | -4.020413583627487 
D2DK | 2.470469466897806 | -4.020413583627487 
DKH2 | 2.470469466897806 | -4.020413583627487 
